***** Path: start*****
(7.170291487008191,7.170291487008191,-3.1396414314172425)
(7.170291487008191,0.8077008574090883)
(6.270045790650829,1.6295163257959588)
(6.107231772927737,1.8028919298664268)
(5.945051892036425,1.977142632681524)
(5.787114115105524,2.147955465660495)
(5.637026409263667,2.3110174602225864)
(5.498396741639484,2.462015647787042)
(5.374833079361604,2.5966370597731077)
(5.2699433895586605,2.7105687276000285)
(5.200108901567801,2.785839613470134)
(5.14741654092824,2.841727318992451)
(5.117537960654374,2.8621667684629086)
(5.117537960654374,2.8621667684629086)
(5.117537960654374,5.117537960654374,2.096022658820897)
 *****END PATH*****

***** Path: leg2*****
(5.117537960654374,5.117537960654374,2.096022658820897)
(5.117537960654374,2.8621667684629086)
(4.941219644198991,2.754338605228582)
(4.76531223704591,2.6469049363615844)
(4.589957682628168,2.539973795934842)
(4.415349688633445,2.4336890265889566)
(4.201988979526922,2.304123367386426)
(4.019978499707926,2.193912517032418)
(3.8644926179768584,2.100022548683495)
(3.7307057031341198,2.019419535496222)
(3.563743618907542,1.9189516105116347)
(3.3956764914958226,1.8175470466769639)
(3.222686052748312,1.7121746997498393)
(3.046568371914852,1.603535496519238)
(2.872441740278719,1.4950718580582998)
(2.7184568313803537,1.398596030036873)
(2.5382496177635123,1.285278532281027)
(2.3269944682285977,1.1520854379473264)
(2.1620714007455506,1.047935352921006)
(1.9979664964394124,0.9442033693568537)
(1.834450042223003,0.8407730820806085)
(1.6918281919154015,0.7505168497092289)
(1.6080683624801262,0.6974960254372014)
(1.6080683624801264,1.6080683624801264,0.960070362405688)
 *****END PATH*****
